Trame codée bruitée,Trame binaire originale
"1.0215494745208535, -1.296897481548645, -1.0423677304998384, 1.0159346064144938, -1.0682991389003162, 1.0127558571349096, 0.977904270283125, -1.118243412485703, 1.3158301808927548, -1.1539683424968208, 1.2633194491451702, -1.1808843416954165, 0.7944142618298169, 1.1360142369654818, 1.025328007558527","0.0, 1.0, 1.0, 0.0, 1.0, 0.0"
"1.0292089531229205, 1.0473165846539179, 1.093575608712856, -0.8369182101366608, 0.954324764197613, 1.1811198793517323, -1.0920186808338306, -1.1204882183059144, 0.9481288131772615, 0.9414523259134112, 0.88275693443008, 1.2151226736152794, 1.0540323340673081, 0.9432360586367502, -0.7328995199554935","0.0, 0.0, 0.0, 1.0, 0.0, 0.0"
"0.8894557908447491, -0.9799593519810564, -1.0494380915673316, -1.197221654856744, 0.7079585896324959, 0.9374024526594255, 0.5825848264526496, -1.0561499116250606, -1.1804415500531413, 0.9783907990258555, 1.072139309079811, 0.9584834914498374, -0.7092113974341908, 1.0784371480573207, 0.754016285062811","0.0, 1.0, 1.0, 1.0, 0.0, 0.0"
"0.6919408525901167, 1.0483033332773388, -1.0413726420539238, 1.0507201376744044, -1.2159984282538343, -1.1399855495890663, 0.7990580438866781, 0.9439248445673686, 0.8868520535682208, -1.0044091787332943, -0.6515596414898298, 0.8756228753988472, -1.0414929376935917, -0.9182766044779607, -1.0459035090879916","0.0, 0.0, 1.0, 0.0, 1.0, 1.0"
"0.9695479491028902, -0.8733106231598637, -1.159807250612165, 1.1434887941903633, 1.1111633073563971, -1.1809983106023703, -0.745825311073615, 1.0328374502430742, -0.8731572365917497, -1.1028543528405708, -0.9366606401639973, -0.5965152909798517, -1.1089329411651863, -0.9542449123088073, 0.8480618863950733","0.0, 1.0, 1.0, 0.0, 0.0, 1.0"
"0.7716373015950182, 0.8785217585561574, -1.1977279552769462, 0.7526725027210601, 0.8286301135110778, 0.7731984036513013, -1.2243966464497116, -1.1062522486620148, -1.10892843340271, -0.8393449495285239, 0.9297363097156296, 0.9884230027198516, 0.6908594857290438, 1.2046442729331077, -0.9153702849316827","0.0, 0.0, 1.0, 0.0, 0.0, 0.0"
"1.0938143933719393, -0.922507837916532, -0.9063714256369111, -0.8956156001936743, 0.9100454324570916, -1.1310327506472366, 1.0015393099834016, -0.9182075613963852, -1.065378113007472, -0.9800917454093462, -0.9251423759829028, -0.9244992635800704, -0.8451897989921042, -0.8536626482219809, -0.8120721954750652","0.0, 1.0, 1.0, 1.0, 0.0, 1.0"
"1.1462001193596656, -0.9758411619447765, 0.8541579050149531, -0.9895482805201558, 1.1073663286639248, -0.9158901696363596, -1.1706806729591908, 0.9184633005404185, 1.0653236848591934, 0.8380709937440066, -1.162773480094689, -0.8948570172386874, -0.7815584770265478, -0.8118058811249105, 1.0424304127687685","0.0, 1.0, 0.0, 1.0, 0.0, 1.0"
"1.0300362431782362, -1.2375015858937053, -0.8247914319619689, 1.1465391169446753, -0.8864244649805393, -1.1424054032103474, 0.8630537902994526, -1.1286418023922413, 1.041035240623802, 1.1362083694474994, -0.8941181323649421, 1.0485350741184267, 0.9546421937378108, -0.966916731485419, -1.293990580833627","0.0, 1.0, 1.0, 0.0, 1.0, 1.0"
"-1.126580245352437, -0.874529230444329, 1.0114982888043729, -0.7209760330322579, -0.936847326745983, 0.7308599265753355, 1.0302605323528446, -1.021080448915326, 0.7924817160184559, 0.7360378738983795, -1.1016674368637096, 0.8713059677558351, -1.063990373388409, -1.0721264352468163, 0.8883266587367489","1.0, 1.0, 0.0, 1.0, 1.0, 0.0"
"1.0675689372421862, 1.1873616096973867, -0.6873443280174412, -1.1761108435313465, -1.1663080399982206, 1.0152864691351577, -0.9930992475864887, -0.7543064843636543, 1.3998196078640361, 0.8232896850852048, 1.2137664735322133, -0.9787095119503375, -0.9700527466466352, 1.089040798599871, -1.1972396011126034","0.0, 0.0, 1.0, 1.0, 1.0, 0.0"
"-1.0094199501063161, 0.9921574970588821, 0.9406623903798277, 1.1593961127745909, -0.8768356843306921, 1.0443978198846424, -1.0044393801114353, -1.0940779354444607, 1.0526871533127753, -0.8436393641308849, -0.8511223658422351, 1.242845637637357, 1.1740329883269855, -1.0812428483973457, -1.1510168042168136","1.0, 0.0, 0.0, 0.0, 1.0, 0.0"
"-1.109069499264804, 1.0399048539403557, 0.8645509257206061, 1.0767177891055573, 1.0603680822919377, 1.1876262055032392, 1.1841968458780896, 0.9708618207046379, -0.856497841054185, 0.7901962583022688, -0.7262986385631477, -1.0821065815298212, -1.0380260954552507, -1.1686385663328331, 0.8152537061233677","1.0, 0.0, 0.0, 0.0, 0.0, 0.0"
"-0.8428102394504431, 0.8783771102459873, 1.0190272842957935, -1.2632003321085987, -1.2637418220853156, 0.8103757903110119, 1.0564408987044314, 1.1382666287279415, 1.0429555080620054, -0.8015302670607788, -0.7695145825332566, 1.0879170919244234, 0.9931923926406425, -0.8667166760604383, 0.7855141217317768","1.0, 0.0, 0.0, 1.0, 1.0, 0.0"
"-1.0037393796536183, 0.9919094822454769, 0.7175114195234754, 1.1164123066507465, -1.004325556090296, 0.8581896127996465, -0.8654780357464715, -1.0664270404281704, 1.178637017387366, -0.9385918866078522, -0.9698961481347069, 0.9382797868293162, 1.0940532079345924, -1.0068313680114402, -0.9576977593091301","1.0, 0.0, 0.0, 0.0, 1.0, 0.0"
"-1.2917421987159439, -0.9994051998161422, 1.166604411273541, 0.9857718126363613, -0.9289227349025404, -0.9679909097796908, -1.0499295607102055, 0.9714751503923095, 1.0395106347045469, -0.9490297623543275, 1.0573781282764965, -1.0345062784636008, -1.2388460241854053, 0.7401990295508645, 1.0944667314384853","1.0, 1.0, 0.0, 0.0, 1.0, 1.0"
"-0.900362435804089, 1.075345091147769, -0.8685934684584461, -0.9106772754169085, 0.9444553645563716, -0.7378052304418191, 0.947181158763609, 1.0314623487688344, 1.2409436312778857, 0.8052984118390865, 0.7987998934650998, 0.9305388097162647, -1.06815871560857, 1.1055149709404066, -0.9065617649471163","1.0, 0.0, 1.0, 1.0, 0.0, 1.0"
"0.909690334934511, 1.0650930856796312, 0.9559761416448931, 1.0027968182105564, 0.8827679659708637, 0.9963515786822177, 1.016693217444745, 0.9073450833020313, 1.0096567688214826, 1.2149307605752204, 0.9223208253944929, 1.2017727823002022, 0.9106893726538181, 1.1806536395887366, 0.9621208992356665","0.0, 0.0, 0.0, 0.0, 0.0, 0.0"
"-1.0514687098014406, 1.02635478212061, -0.8353174455172436, 1.2599984833944342, 0.8394449127641213, -1.1189260123074485, -1.1158312045143008, -0.9599916008099959, 1.0951931907683599, 0.9200688689046348, 1.0869043131082459, 1.0534773986607837, -0.6173445352056189, 0.718002723584102, 1.0850912753039108","1.0, 0.0, 1.0, 0.0, 0.0, 1.0"
"-1.0176689449183922, -1.1407606208627785, 0.9977358748201004, 1.1888004982735523, -1.3342415005868489, -0.9852911123320137, -0.9999419770664322, 0.8023553422181923, 1.0188561336767388, -1.0745321159056518, 1.1761139129949147, -0.8114951332540749, -0.9422829231042419, 1.0958700558082533, 1.1229132763700012","1.0, 1.0, 0.0, 0.0, 1.0, 1.0"
"1.0105134495845591, -1.1892160161914866, -1.1416976594192743, 0.9258367096729072, 0.9851726207667058, 0.8881283507250406, -0.9527524545953441, 1.0387016730732275, -1.1537810023594763, 1.049738713275424, 1.0415112394200665, 0.9851606718995245, -0.9807580305892055, 1.022856214521741, -1.068589068497268","0.0, 1.0, 1.0, 0.0, 0.0, 0.0"
"-1.1922987095234823, 1.2851938367725007, 1.053220902477188, -0.8509018634492475, 1.0970237075066953, -1.0764678032346762, -0.9387717999995941, -0.9294577908210346, -1.2860512757913896, -1.0770672570243007, 1.0430316047505175, 0.9979775845727676, -0.9770946962862086, 0.6832905796571187, 1.1033246460562278","1.0, 0.0, 0.0, 1.0, 0.0, 1.0"
"0.9982807384705584, -0.9634226471172285, 1.2174506913608791, -0.8215915437218153, -1.0133226911575548, 0.9348791049899248, 1.0864280080999982, -0.9254636294067246, -1.1385498631486102, 0.9897484727996471, 0.8410901174338006, -0.9624436255273358, 0.9215169090513059, 0.9254438656080844, 0.7394908528663168","0.0, 1.0, 0.0, 1.0, 1.0, 0.0"
"0.9026605303995159, -0.9515139576134863, 0.9606819506848738, -1.1491915584274977, -0.8254184758386091, 1.0130463943201349, 1.0698971870276694, -0.801801657860017, -1.2310750168533064, 0.9197312026259373, 1.1628005158554742, -1.0314897853637879, 1.2483065986043016, 0.9557569058150552, 1.0661909695529501","0.0, 1.0, 0.0, 1.0, 1.0, 0.0"
"0.8375372216777274, 1.1828168854576069, -0.9678152817022766, -1.0789048446771696, 0.7176938292340159, -0.979112990998759, 0.9155290180978908, 0.9934394944805577, -0.7752151291504634, 0.7105212447869136, -0.8361808991906015, -1.198081840350664, 0.968243005647411, -1.0881359732278268, -0.9864384315628254","0.0, 0.0, 1.0, 1.0, 0.0, 1.0"
"-1.0538844278380475, 0.9275846776166564, -1.0019912129177706, -1.0307171655358238, -0.8013386237096393, 0.7530844079812322, -1.0518040566857896, -1.1752377581271085, -1.1021634158904239, 0.9577790049161192, -1.2480401645537855, 0.9189594713668339, 0.783087089075735, -1.1399009337887906, -0.985162449126509","1.0, 0.0, 1.0, 1.0, 1.0, 0.0"
"0.9764176233385821, -0.7653535401459384, 0.968072767558527, 1.0169122114134919, 0.873321407980366, 1.1970745257584399, 1.1336094033643924, -1.0096792647851638, 1.088327314113554, -1.0935787524288547, 1.1912932063656438, 0.7486641913799165, -0.8374116413949886, 1.0310987263021907, 1.0956681262597032","0.0, 1.0, 0.0, 0.0, 0.0, 0.0"
"-1.1232957850996945, -1.0735392920828704, -1.1700025228983528, 1.0455491275529738, -0.9715442178362991, -0.8563305306436673, 0.9795612474210125, -1.0698215207133372, -0.9822641489534468, 1.0025787071133523, 1.186843423286692, -1.010965381222678, -1.0135825391433106, 0.9999057364289541, -0.9261250574583597","1.0, 1.0, 1.0, 0.0, 1.0, 1.0"
"1.1249248260639915, 1.1317441976495544, -0.9015882502100522, 1.0102433992725386, -0.9553777207628762, 0.9991228315238906, 1.0980886477454215, 1.0784563708364683, 0.881749500975169, 1.1467616013952517, 1.0638828822079285, -0.9385378049565323, -0.9512038350207116, 1.1287235697096643, 1.249340230101657","0.0, 0.0, 1.0, 0.0, 1.0, 0.0"
"0.9459593739749727, -0.7574170106578597, 1.0439850759725622, -1.0992189997638877, -1.0739956364877161, 1.206820873499855, 0.8111202387606435, -1.0150904622485988, -0.9825550474164949, 1.1269656433846307, 0.9011857236885525, -0.7490480588912787, 1.1084917587601062, 0.8406695414735538, 1.0307852056607385","0.0, 1.0, 0.0, 1.0, 1.0, 0.0"
"1.0487123535049006, -0.9310436252786753, -1.1507087461396743, -1.007396060401192, -0.9230635295448981, 0.8744501095955952, -0.9549456237471392, 1.0631762513852692, 1.1059986862852798, -1.3303064524815906, 0.8569099385151618, -0.9112600593662149, 1.0748569125518208, 0.9832597007146986, -0.752115988965232","0.0, 1.0, 1.0, 1.0, 1.0, 0.0"
"0.8965508832330737, 0.9018987079764121, 0.9770986879042881, -1.0207296877885883, 0.9792647811959063, -0.8908645482750297, -0.9689327721627997, -1.1803707094567653, 1.210237244051606, -0.9665345205125684, -0.9569944843027367, -0.6329908183947452, 1.012046531566113, -0.9112587577261092, 0.9284669545778885","0.0, 0.0, 0.0, 1.0, 0.0, 1.0"
"0.8881683542886808, -1.0519455287562072, 0.9252380581676524, 0.9731401755520144, -1.1624215864105218, 0.9393309756159108, -0.8232141934323284, 1.0974824399688918, -0.8126179538901037, 0.6524641060297769, 1.0348428625532122, -1.0898414234498195, 0.7541482632169524, 1.1228872698493528, -1.0112233438614395","0.0, 1.0, 0.0, 0.0, 1.0, 0.0"
"-1.0144084383936305, -0.8155187598428092, -1.173919385858833, 1.0592021828776876, 1.1509022688583446, 1.1066859764113415, -1.0712093368314606, 0.9868773855792271, 1.1584512889071568, 1.067336799330937, -0.7573523548620148, -0.8104661242964475, 1.004894629851631, -1.0342845673873395, -0.9948398619352581","1.0, 1.0, 1.0, 0.0, 0.0, 0.0"
"1.271474000159763, -0.8866035263245178, -1.0223562469625047, 1.1172497527479566, 1.2049509004640047, 0.9924038091623922, -0.960398816399416, 1.0684007380580374, -1.1349758896432967, 0.8710166429930648, 1.162738859321567, 0.9678526706523984, -1.1867235827464697, 1.1966064315124179, -1.1184276808814608","0.0, 1.0, 1.0, 0.0, 0.0, 0.0"
"1.0992220968999276, 1.0320288249143603, 1.1159392240196422, -0.9111968550259488, -1.2673597568416497, -1.0175337772606798, 0.8763619879111435, 0.9271389702637882, -1.2001020561678044, 0.8630833513374074, -1.164996098949838, 0.8378426634184494, -1.209974512653621, -0.7652090678706168, -0.5002748866652669","0.0, 0.0, 0.0, 1.0, 1.0, 1.0"
"1.221732094452003, 0.8954209254297368, 0.9656607119772777, 0.8719611873229914, -1.0654885848270983, -0.971370310885618, -0.945396713607392, -1.0590266805848643, -1.098244346436267, 0.9473401686846326, -0.7898493948330916, 1.0543399595019807, -1.0692485126699423, -1.0247958749081083, 0.787405792963906","0.0, 0.0, 0.0, 0.0, 1.0, 1.0"
"0.9897338999807039, 0.9871710627671157, 1.0036923987704465, -1.0689507505010767, -0.9499356107278984, 0.7316431171274915, 1.0953967766226387, 0.9258150950718356, -0.9793433453084619, -1.045618848961623, 1.0736583803049269, -1.213211596294404, -0.9912926998549783, 0.9223961368956598, 1.203834605031103","0.0, 0.0, 0.0, 1.0, 1.0, 0.0"
"0.8958171727746495, -0.9035067715315714, 0.8565111856785402, -0.929750567687701, -0.9275389368701414, 0.9555868369347214, 1.1519421654021882, -0.9124196181834465, -1.063604771667371, 1.078945605039935, 0.9444834424269174, -1.1845741241603713, 1.0601858444136143, 0.8031355664427882, 1.0914742188050912","0.0, 1.0, 0.0, 1.0, 1.0, 0.0"
"0.9352747164346286, -0.9161287430155509, 0.9685568277065547, -0.8411428527139053, 1.0356996736392436, 0.89435006246191, -0.7148068333063643, 1.0504540964881277, 0.9184818999402105, -0.9780692713212247, 0.8143014830910791, 0.9961931302311126, -1.091096235960074, 0.9220146961087111, -1.1143943143662915","0.0, 1.0, 0.0, 1.0, 0.0, 0.0"
"1.198594670437993, 0.8268644136906791, -0.953155904146515, 1.023614989417878, -1.121141652864028, -1.132355414765409, 0.969886801957789, 0.8918438669324888, 1.0667449193711522, -1.0424109531006154, -1.1159388982338878, 1.1123782639169226, -0.9441684589384225, -1.1057316356829243, -0.9197345718453829","0.0, 0.0, 1.0, 0.0, 1.0, 1.0"
"0.7892598413908484, -1.0137288210732023, -0.8931415554401108, -0.9760690065570752, -0.9525804159633219, 0.789741769075321, -1.0250029361428559, 0.8965668607377065, 1.064168432588685, -0.8119582187965925, 1.0174709080579185, -0.9340815860205453, 1.0781782982397743, 0.9518342662836079, -0.7847129758570817","0.0, 1.0, 1.0, 1.0, 1.0, 0.0"
"0.9266720654971193, 1.1726703276331774, -0.9233886508236901, 0.8320454968975312, -1.0965816500823669, 1.162057734154215, 1.2687850027475742, 1.010492706386371, 0.7105838505934308, 1.0668896615922097, 0.9239270024376003, -1.0595256438341056, -1.000500681762067, 0.9035528826285518, 0.9404463204839323","0.0, 0.0, 1.0, 0.0, 1.0, 0.0"
"0.9704716489128346, 0.9205619511995404, -1.065886881474713, 0.8453393255070463, 0.8980548285282399, -0.989146380765587, -1.155016379824059, -0.7534031840443163, -0.7833144465883968, 1.1469957785691376, -1.0985621300426573, -1.0883212501312909, 0.8303178826623584, -0.9957774911167817, 0.6111603235485493","0.0, 0.0, 1.0, 0.0, 0.0, 1.0"
"0.8901397598043163, 0.9533523255107786, 0.8582765006650348, -0.8937188104614604, 0.7336278561493311, 0.8780895277784025, -0.9286074723433324, -1.085178457633612, 1.1224482558613755, 1.1010857687467976, 1.046277322009957, 0.9924632204645665, 0.8469439847145517, 1.0602661806973648, -0.9820568197623364","0.0, 0.0, 0.0, 1.0, 0.0, 0.0"
"0.8110051534626792, 1.0271206187062547, 0.9259988248763195, -1.052718486243159, -0.9221991690020386, -1.159805661117127, 1.0028754707217107, 0.8571714419073861, -0.9656226465654639, 1.2293936908149934, -1.1189030551215973, 1.0294343303315445, -0.8008865161132255, -1.26678036709352, -0.9547554134714575","0.0, 0.0, 0.0, 1.0, 1.0, 1.0"
"0.7603684185247416, 1.0968700393617665, -0.8771555790775035, 1.043279868414805, 0.9922194298369451, 1.071895211414187, -1.0714859925368632, -0.93494978034751, -1.1439108185704159, -0.9024562563442388, 1.1050300469320637, 0.9314917627541315, 1.0072555213080332, 1.1053612875233356, -0.954052738131107","0.0, 0.0, 1.0, 0.0, 0.0, 0.0"
"1.0269328834825358, 0.9604473650314626, -0.9842603930887861, 0.9879306564830996, -0.9860252998010611, -1.1069297422763373, 1.1894360215263942, 1.0671327815073455, 0.8275955851250109, -0.9573000225023578, -0.976669149389862, 1.0737706090640096, -1.0780695142910512, -1.0720828324034593, -0.8066548185275497","0.0, 0.0, 1.0, 0.0, 1.0, 1.0"
"-1.0314257758313858, 1.1209314828173689, 0.8021007944817342, 0.7449225946229151, 0.918281834499105, 1.037620105320388, 0.838094676080634, 0.9956827210928181, -1.0237889303003476, 1.165078605754414, -0.9669673731258897, -0.7646212962015071, -1.0462055726012132, -0.8912756848746988, 1.0235497964490223","1.0, 0.0, 0.0, 0.0, 0.0, 0.0"
"0.8762768368800852, -0.7770633872586223, -1.0964543442819104, 0.723300269187154, -1.0476432952607122, 1.091318093321052, 1.0802557080308197, -0.7315529437034776, 0.778512099472096, -1.2039783907748718, 1.2840459804056863, -1.0349871859155666, 1.0449916403591626, 0.7788664833942746, 1.0459944190449524","0.0, 1.0, 1.0, 0.0, 1.0, 0.0"
"-0.8629165776065372, -1.2133420635004972, -0.9922067459572134, 1.1534406036382439, -1.0488186411433562, 0.997471257468157, 0.960694797070379, -1.0900207095248364, -1.095972098922902, -1.147523159790238, -1.0884717584282415, 1.123743518107627, -0.8395208492407237, -0.9501170585994958, 1.0038216879841413","1.0, 1.0, 1.0, 0.0, 1.0, 0.0"
"-1.0781948889345525, -1.0607361158005277, -0.9763535093657708, 1.1989336364407992, 1.1250634958214403, 1.0700182504597293, -1.1674235856320174, 1.2444265741785898, 0.8911405047411194, 1.0585870686934922, -0.9023757136015337, -0.9677775127875612, 1.2638580471080463, -1.1752343582878346, -1.0245794464190108","1.0, 1.0, 1.0, 0.0, 0.0, 0.0"
"-1.2360209970057252, 0.5594258461524901, -0.9921018349623654, 1.0889920646597069, 1.2478371354058204, 1.1141122684443197, -1.0104597012932703, -1.1751415313260039, 1.2476246526382062, -1.102540271557358, -1.0859147926975137, -1.1227352792482996, -0.8433575534569341, -1.0921248333800757, -1.170838750123707","1.0, 0.0, 1.0, 0.0, 0.0, 0.0"
"0.876064043956987, 0.9316143951263668, 1.0981051440934426, 1.1514098959686916, -0.8243079179425964, 0.985018037314727, -1.3962209915649961, -1.088817386717935, -1.0710706332179107, -1.0333925623627542, 0.9949970147824443, -0.9615266397355786, -0.9756365611020169, 1.200898872839952, -1.2403396213828548","0.0, 0.0, 0.0, 0.0, 1.0, 0.0"
"1.0522326222820453, -0.7944415627952595, -0.7113838100720007, 0.9406279864055134, -1.1535432335375508, 1.1148228234406379, 0.692955837371769, -1.0143614681857542, 0.9090707680323044, -1.0181167946339416, 0.7551704928258229, -1.2662847373878083, 1.0123436667032681, 0.8623940218891616, 0.9451031446740147","0.0, 1.0, 1.0, 0.0, 1.0, 0.0"
"-0.9934397998001713, 1.2271682129832895, -1.097080044943695, 1.1219441335067561, 1.2299974365494604, -0.8151414077909331, -1.0427380712935082, -0.8177572368299032, 1.084907932477636, 1.1650716036634992, 0.9164374497757269, 0.9868150792418555, -0.9526091747071108, 1.0613282660575407, 0.9292862239780677","1.0, 0.0, 1.0, 0.0, 0.0, 1.0"
"0.6843685742482636, 1.182976207120926, -0.9874335017371686, 0.9029889628513852, -0.9740415974200853, 0.6654103354995577, 0.8460283036633439, 1.1308525304887878, 1.171990696589922, 0.9730945907320527, 0.8473677160956291, -0.8877191603711515, -0.9273788008257485, 0.9588541211369357, 1.2354741493389874","0.0, 0.0, 1.0, 0.0, 1.0, 0.0"
"-1.3507958554417816, -1.0726949979772185, -0.8904587933136819, 1.1473243633709722, -0.735095602007294, -1.1177122466742977, 0.9908616917482398, -0.9477289817545689, -0.8476203035716507, 1.2032337297847, 1.016694716475835, -1.3131462004967684, -0.8532815549864876, 0.7528938425697077, -1.0324175950789451","1.0, 1.0, 1.0, 0.0, 1.0, 1.0"
"-0.9377423845485808, 0.8093887519612366, 1.23155761197666, 0.93978648071425, -0.8643644609478858, -1.0908611026101314, -0.8278561252804971, -0.8552357766535841, 0.9543715135112676, 1.1825146931650705, 1.1405647050904106, -0.9370888266340959, 0.984616597457555, 0.9441598677548597, 0.8477251520697834","1.0, 0.0, 0.0, 0.0, 1.0, 1.0"
"-0.9553389375767949, -1.104687577267777, -1.1730286382181945, -1.1037277221817554, 0.9160723842984372, 1.264659288896867, 1.0943435790640217, -1.0527474879050365, 0.9284594682876354, 1.2276269256788326, -0.8284970689482073, -0.9500627136189144, 0.8505812905720684, -1.201524489229868, 1.1001346988048433","1.0, 1.0, 1.0, 1.0, 0.0, 0.0"
"0.6413450103487057, -0.9579462750411873, -1.0823973775626987, -1.2491382309966939, 0.6755308411074072, 1.0575678811825953, 1.1197131284660362, -1.2952483331091513, -0.9314855551228043, 0.8322384054426615, 1.0466556053829084, 0.9467029737299582, -0.9591927748414406, 1.007118591236667, 1.0639497249837617","0.0, 1.0, 1.0, 1.0, 0.0, 0.0"
"-0.9133410169220448, -0.9819029893886428, -0.991009454426507, -0.9190612100437696, 1.1149905688413957, -1.206885574303036, 1.2648499745012682, -0.996915870097723, 1.1230344950528215, -0.9096201600121353, 0.921659671685944, 0.926791615805148, 1.1976845546922694, 0.8868394791950533, -1.051179740903288","1.0, 1.0, 1.0, 1.0, 0.0, 1.0"
"1.205719583835589, 0.9763542864575183, 0.9197966199081593, 0.9862156540335767, -1.0598323828225187, 0.9149108949543497, -1.0106176410287089, -0.880688417213511, -1.0361622153630894, -1.1519595005407435, 0.8763175320786933, -0.9395663760265937, -0.8837828929913817, 0.8301868656678915, -0.8619061837213065","0.0, 0.0, 0.0, 0.0, 1.0, 0.0"
"-1.129792408262144, 0.7112387088034784, -1.3588598104729246, 0.8634378506141408, -0.8119132851572805, -1.0129880936816342, 0.7875380465104327, 1.029415160320752, -0.9506640750459441, -0.8079565620225111, 1.0578550865981449, -0.9125538725780074, 1.304546352579065, 0.7171829695291686, -1.0679431423507522","1.0, 0.0, 1.0, 0.0, 1.0, 1.0"
"-1.162065570481028, -0.9938700272908789, 0.9103255511229343, 0.7707637685343655, 1.0101098492326401, 1.0440390813747076, 1.117006200824713, -1.0885857239504948, -1.2093115088527595, -0.8703377559969753, -1.1380035448518977, -0.9400693489567955, 0.9199907593961125, -1.1199599781235743, 0.9556521782270034","1.0, 1.0, 0.0, 0.0, 0.0, 0.0"
"-0.7853312411458684, -0.9737552031192682, -1.0843733248484273, 0.9063858019215665, 1.051475484969964, -1.0515479474246312, -1.1014923848664024, 1.083552303049583, 0.7426827509916107, -1.0390036595818581, 1.0171104191636726, 1.0875564762356331, 0.9639290556779455, 0.8050676982456026, 0.7028663013593556","1.0, 1.0, 1.0, 0.0, 0.0, 1.0"
"0.9372255124593843, -0.9690022971023018, 0.8349499369883231, -1.328245841048478, 0.9696442892845939, -0.8388343952427041, -1.0057914249114954, 1.050914468715394, 0.8373348441736521, 1.1161670128266714, -1.0623268568149695, -0.8961500899301083, -1.0327330680527664, -0.9648678580207745, 0.9122865071580283","0.0, 1.0, 0.0, 1.0, 0.0, 1.0"
"1.077139562880691, 1.1234249244458738, -0.9495967922355861, 0.8836039147521515, 1.0387449573322163, 0.9907023077600436, -0.9844318251338974, -0.9419923477290609, -1.0403741451292627, -1.223481364632161, 0.9425539440250089, 1.1518272558148315, 1.250445202753067, 0.935856393174134, -0.8264625751032093","0.0, 0.0, 1.0, 0.0, 0.0, 0.0"
"1.1672503341889482, -0.985972926171994, 1.1573327388005754, -1.1683054061743552, -0.6114405234535577, -0.8866345149183736, 1.1107188990044958, -1.2956987237663493, -0.8553338853645713, -0.9004982753426506, -0.8885022215197371, 1.1393283198079884, 0.8349834503878016, -0.9950284261816928, -0.7665444279575637","0.0, 1.0, 0.0, 1.0, 1.0, 1.0"
"1.0692136002475658, 0.8749594593698208, -1.2124738975689704, -0.9191100514730557, 0.8920760717198735, -1.2155337425672064, 1.0488521979127943, 1.0528031414769154, -0.9424299281544881, 0.8894728114332757, -0.9534382904920667, -1.0790972252662907, 0.9017922008719051, -1.1240921746424415, -1.0685741459593285","0.0, 0.0, 1.0, 1.0, 0.0, 1.0"
"-1.1665418970087236, -0.891323284941603, -1.1308825491330878, -1.006899369257777, 0.8529979364716727, -1.1208823815493236, 1.3346171569074434, -1.0604638290774633, 0.8058097759224073, -1.1498398889405161, 1.265116728935984, 1.0592300151725633, 0.9642617677801945, 0.7500605896495751, -1.1413665125709274","1.0, 1.0, 1.0, 1.0, 0.0, 1.0"
"1.0559223465977166, -0.9694811641337165, -1.0572405509812548, 0.8925616155909049, 0.8694743309184301, 1.2160004010694287, -0.9387682604773003, 1.1060858677973535, -1.0637611221591348, 0.6456769261941564, 0.9931714715438015, 0.9958377787921742, -1.2720673683177106, 0.9814680577530412, -0.9871115660563039","0.0, 1.0, 1.0, 0.0, 0.0, 0.0"
"-0.8214717268007575, -0.8524712475561327, -0.804038154475815, -1.0860790765793285, 0.9754686019249645, 1.0991116885955055, 1.1101193160157954, -1.1263518947967992, 1.1036574385010243, 0.917155825124259, -0.9692549106459566, -1.0940104927676286, 0.8625398513018377, -0.838723041325544, 1.0250812744960327","1.0, 1.0, 1.0, 1.0, 0.0, 0.0"
"-1.0586283072481333, -0.9237348026873591, 0.9026317766551762, -0.9040488252951839, -1.033953791092652, 1.2570034330885, 1.1179672606889197, -0.8443388203694687, 0.5717688236388834, 1.3854406691196592, -0.9168254364358085, 0.8223692397065858, -0.7881985556032325, -0.7945357510336637, 0.8672858554111478","1.0, 1.0, 0.0, 1.0, 1.0, 0.0"
"-1.1904397422343067, -0.8204466321780738, 0.8000629738072044, -0.7820096278973667, 1.1886123746865644, -0.976520292868614, -1.1066929107828503, 1.0430538407206118, -0.874238563884337, 1.2104770437442356, 0.9694879163338069, 0.9390903032494665, 1.0014948867381912, 1.0185804221294248, 0.8162471602231504","1.0, 1.0, 0.0, 1.0, 0.0, 1.0"
"1.1227264786975804, -1.1317231777221362, -1.0319805392446983, -0.8625615821206299, -0.8288245901561277, 0.8211522876910494, -1.0681540052708882, 1.0784659001251031, 1.2279452888750022, -0.995047304962537, 0.9603355041033322, -0.9017749579048177, 1.023562269075249, 1.0075057414281847, -1.0111638370314835","0.0, 1.0, 1.0, 1.0, 1.0, 0.0"
"-0.9707901847997439, -1.1159573129455582, 1.2111892348344144, 1.1782196663269089, -0.9692373547032532, -1.0796118248927877, -1.1863661277289719, 1.0789964786039428, 0.9259708980180223, -0.7317921318592704, 0.9087646725537362, -1.1343341289719462, -1.055705039959656, 0.966325751716545, 1.0440656750627761","1.0, 1.0, 0.0, 0.0, 1.0, 1.0"
"1.1750564007275808, -1.1844172739454253, -1.1182048883154136, 1.172598212644265, 0.9931638666649394, 0.931781224015177, -0.9874251518951115, 0.9784088190247955, -0.7841072165755065, 1.0260298882966898, 0.9833200379947742, 0.7736111428800363, -0.7115215169227058, 1.0533224268923491, -1.1786521458754735","0.0, 1.0, 1.0, 0.0, 0.0, 0.0"
