Trame codée bruitée,Trame binaire originale
"1.0885409419410343, -1.001507625606047, 0.9666612887962083, -1.040187396767559, -0.8558644844727066, 0.9128281262876988, 1.0425403378909497, -1.1122297788121531, -1.260595628117858, 1.015835497188368, 0.8987949313678174, -0.8720803706181591, 1.0524323813878182, 0.8550829920891448, 0.8881131407670317","0.0, 1.0, 0.0, 1.0, 1.0, 0.0"
"-1.017337667572961, 0.8170168024608623, -1.056370549647759, -0.9522864786000739, 1.1164480122566325, -0.9995083511071369, 0.9383148387543211, 0.9169533639271542, 0.7668081677180474, 0.9668544391266669, 1.0560801766412762, 1.0972953540288402, -1.1125887238924428, 1.0974211259285247, -1.0510168252531287","1.0, 0.0, 1.0, 1.0, 0.0, 1.0"
"-1.006071551582981, 1.0322372498139702, -0.8728824990348409, -0.8860164410711961, -1.0287976546267976, -0.776146738114476, -1.2159596949280813, -1.0768643423516666, -1.2397526598295938, -1.2108723194071307, 0.7239659716376623, -0.8990279341832512, 0.8686902251789004, 1.0417819827326975, 1.0751608304749891","1.0, 0.0, 1.0, 1.0, 1.0, 1.0"
"-0.9220750371346352, 0.7548099263373464, -0.8349468691596841, 0.9541775421221105, 1.1590630720809587, 0.7548202872533716, -1.0085160266920739, -1.0787778706082016, 1.3221300396297053, -1.0530486181906098, -0.9458558369256901, -0.697922909261486, -0.9560676357360877, -1.0529812384170874, -1.1089594424390814","1.0, 0.0, 1.0, 0.0, 0.0, 0.0"
"0.864925956982747, 1.0073027450791516, 1.1814131314044825, 1.029344440240568, -1.0685143463421547, -1.0727317013618038, -0.9221205741947845, -1.1154777236302333, -1.0334295791902257, 0.8373249121224444, -0.933716420713741, 0.896229979100702, -0.9378425986211116, -0.9870873757005929, 1.0613334743683467","0.0, 0.0, 0.0, 0.0, 1.0, 1.0"
"1.1592088661753646, -0.8708663434576127, -0.9482284368143163, 1.0897557215252578, -0.7474694225452128, -0.9432603912936954, 1.0162575797171438, -1.006342374017803, 1.2010329629906713, 1.0440720310254614, -0.7354447540582081, 1.3014241616574453, 0.8407433462064149, -1.012327360154467, -0.6947770244356494","0.0, 1.0, 1.0, 0.0, 1.0, 1.0"
"0.982779176585516, 0.8818242885187693, 1.0280345082370639, -0.9573580984523489, -0.8914790371368114, -0.8719098326372818, 1.0820991516812961, 0.9606689047308491, -0.9097428151552237, 0.8852169719125309, -1.1587136739764627, 1.0118234924604914, -0.8426998497512053, -1.1204691736023695, -1.0600711473739464","0.0, 0.0, 0.0, 1.0, 1.0, 1.0"
"0.85925272285589, 0.9554774270897287, -0.9243146761738749, 0.9869051143756271, 1.0555792187029651, 0.8674043704545394, -0.8236884190175644, -0.8537908010767846, -1.029986627506974, -1.073301592049854, 0.8159274958632308, 1.1995490008151657, 0.9990562022670009, 0.9124005881987464, -1.1338624372977324","0.0, 0.0, 1.0, 0.0, 0.0, 0.0"
"-1.3421685879828094, -0.7764452951818182, -0.9535300566992764, -1.031823694856277, 1.1478124085718993, 1.1984697145007772, 0.8024534249269375, -0.8456957500285527, 0.920894252869022, 0.7971353467109278, -1.0146154643900747, -1.0739086315837962, 0.9726221664297222, -1.0410581009489956, 0.7825136928338542","1.0, 1.0, 1.0, 1.0, 0.0, 0.0"
"-0.9052176129016082, -0.8973293759916621, -1.0707081169218255, 0.7939895063773926, 0.9439936542209019, -0.9351961634010675, -0.9517221067712947, 0.7719565330409561, 0.9146672225680503, -0.9093764236655688, 1.117961810561388, 1.0302134515233585, 0.9981668360563962, 0.9585652396066118, 1.1063226923774436","1.0, 1.0, 1.0, 0.0, 0.0, 1.0"
"1.0807877889187698, -0.959938538736172, -0.8377136383272591, -0.8053192386226312, -0.9766567725987729, 0.859238105016624, -0.8139735770847566, 1.106355889783475, 1.1387208137319031, -1.0674800656800902, 1.035788664553553, -1.0142059915257562, 1.0585762937156713, 1.0148074428590492, -1.0371160314506391","0.0, 1.0, 1.0, 1.0, 1.0, 0.0"
"-1.1949360206115665, 0.9682785441719559, -0.9536923733253477, -1.1419270906804637, -1.4963094318718588, -1.2375464075814548, -1.0002960437599038, -0.8814669981854169, -0.8535075876408441, -0.9369346901299127, 0.9753870801230075, -1.011165853317244, 0.8857890510459577, 1.4687944457044149, 0.9535192638456305","1.0, 0.0, 1.0, 1.0, 1.0, 1.0"
"0.8743747823447291, 1.102366975115565, -0.9504994725661444, 1.041513226163552, 1.2517011195496666, 0.8724282799616229, -1.1582721358996166, -1.020517184825286, -0.9623727929049075, -0.9815277566550804, 1.090582811115286, 0.9414436034114828, 0.9502006664107194, 1.288119739720877, -0.8827501819752865","0.0, 0.0, 1.0, 0.0, 0.0, 0.0"
"-1.1406035989094983, 1.105448471708547, 0.9858325312808951, -1.2065728543285232, -1.0785923882700728, -1.084021729550915, 1.1405061229981666, 0.943935666805283, 0.9714338915881225, 0.7371032843540759, 1.255697132938702, -0.7775461695679196, 0.8333296488703805, 0.9618076219233868, -0.9320263856221183","1.0, 0.0, 0.0, 1.0, 1.0, 1.0"
"1.0468047686397863, 1.11524487216955, 0.9042939461557207, 1.266794079725257, -0.9999829727659701, 1.0284256460255021, -0.9334098598008835, -1.0582823037063487, -1.1426256624508029, -0.8241032147701763, 1.0700749838520762, -0.847362198687775, -1.123551478873463, 0.8790083981265358, -1.0182288226298242","0.0, 0.0, 0.0, 0.0, 1.0, 0.0"
"0.8236671102170718, 0.978304270870273, 0.7761375619677391, 0.8934202685337169, 1.0698872917648516, -0.9941685998095149, 1.0778777602819285, 0.7004120101987514, 1.0829690235646579, -1.0235211195123244, -1.1793062553689582, -1.1271804930248668, 1.0646339916081669, -0.9087301742894575, -1.1699843619467987","0.0, 0.0, 0.0, 0.0, 0.0, 1.0"
"-0.9239631155249576, 0.9206843987364706, -0.9926655465563735, 1.0528874092226013, 1.063457244873388, -0.877026304348871, -1.142490215123575, -0.9355752131238421, 0.9278841653238044, 0.833555188891334, 1.0816571611130943, 1.0023144027348334, -1.066099920467125, 1.0770554591128774, 1.0629768793058134","1.0, 0.0, 1.0, 0.0, 0.0, 1.0"
"0.9960256442186366, -1.072564402991779, -0.8531524388237772, -0.7622317315463131, 1.0131488178636632, 0.9544811328920286, 1.0972058916897542, -0.9498239343422625, -0.8758100717334535, 1.035749903575027, 1.159929405470181, 0.9317829472892043, -0.7822612634652242, 1.16965578402912, 1.0922940449439658","0.0, 1.0, 1.0, 1.0, 0.0, 0.0"
